Rank,Name,Nationality,Result
1,Steve Smith,United Kingdom,2.37
2,Tim Forsyth,Australia,2.31
3,Takahiro Kimino,Japan,2.29
4,Kim Tae Young,South Korea,2.23
5,Sergey Klyugin,Commonwealth of Independent States,2.20
6,Kristofer Lamos,Germany,2.20
7,Tomáš Janků,Czechoslovakia,2.17
8,Coenraad Roux,South Africa,2.17
9,Clayton Pugh,Australia,2.17
10,Xu Xiaodong,China,2.14
11,Sven Ootjers,Netherlands,2.14
12,Mirko Zanotti,Italy,2.14
13,Clifford van Reed,United States,2.14
14,Dejan Miloševic,Slovenia,2.10
15,Hugo Muñoz,Peru,2.10
16,Stanley Osuide,United Kingdom,2.05
17,Kostas Liapis,Greece,2.05
18,Kim Tae-hoi,South Korea,2.05
19,Antoine Burke,Ireland,2.00
